Year,Month,District,No of complaints
2023,November,Kandy,43
2023,November,Kagalle,32
2023,November,Kilinochchi,6
2023,November,Kurunagala,61
2023,November,Mannar,4
2023,November,Matale,18
2023,November,Matara,27
2023,November,Monaragala,14
2023,November,Mulathivu,8
2023,November,NuwaraEliya,18
2023,November,Polonnaruwa,22
2023,November,Puttalama,29
2023,November,Rathnapura,53
2023,November,Trncomali,16
2023,November,Vavuniya,7
2023,November,Unknown,20
2023,November,,810
2023,December,Ampara,25
2023,December,Anuradapura,40
2023,December,Badulla,18
2023,December,Baticoloa,17
2023,December,Colombo,75
2023,December,Galle,55
2023,December,Gampaha,70
2023,December,Hambanthota,37
2023,December,Jaffna,10
2023,December,Kaluthara,35
2023,December,Kandy,35
2023,December,Kagalle,31
2023,December,Kilinochchi,2
2023,December,Kurunagala,52
2023,December,Mannar,6
2023,December,Matale,15
2023,December,Matara,28
2023,December,Monaragala,20
2023,December,Mulathivu,7
2023,December,NuwaraEliya,13
2023,December,Polonnaruwa,23
2023,December,Puttalama,24
2023,December,Rathnapura,45
2023,December,Trncomali,17
2023,December,Vavuniya,7
2023,December,Unknown,59
2023,December,,766
2023,Total,Ampara,237
2023,Total,Anuradapura,521
2023,Total,Badulla,246
2023,Total,Baticoloa,178
2023,Total,Colombo,1174
2023,Total,Galle,541
2023,Total,Gampaha,907
2023,Total,Hambanthota,18
2023,Total,Jaffna,138
2023,Total,Kaluthara,548
2023,Total,Kandy,424
2023,Total,Kagalle,293
2023,Total,Kilinochchi,52
2023,Total,Kurunagala,760
2023,Total,Mannar,50
2023,Total,Matale,193
2023,Total,Matara,315
2023,Total,Monaragala,291
2023,Total,Mulathivu,82
2023,Total,NuwaraEliya,184
2023,Total,Polonnaruwa,283
2023,Total,Puttalama,396
2023,Total,Rathnapura,598
2023,Total,Trncomali,133
2023,Total,Vavuniya,65
2023,Total,Unknown,434
2023,Total,,9436
