,Year,Month,District,No of complaints
338,2023,July,Nuwara Eliya,20
339,2023,July,Polonnaruwa,25
340,2023,July,Puttalam,48
341,2023,July,Ratnapura,50
342,2023,July,Trincomalee,15
343,2023,July,Vavuniya,3
344,2023,July,Unknown,26
345,2023,July,,838
346,2023,August,Ampara,13
347,2023,August,Anuradhapura,46
348,2023,August,Badulla,18
349,2023,August,Batticaloa,12
350,2023,August,Colombo,78
351,2023,August,Galle,42
352,2023,August,Gampaha,68
353,2023,August,Hambanthota,31
354,2023,August,Jaffna,5
355,2023,August,Kalutara,54
356,2023,August,Kandy,28
357,2023,August,Kegalle,17
358,2023,August,Kilinochchi,3
359,2023,August,Kurunegala,52
360,2023,August,Mannar,6
361,2023,August,Matale,16
362,2023,August,Matara,23
363,2023,August,Monaragala,33
364,2023,August,Mullaitivu,7
365,2023,August,Nuwara Eliya,16
366,2023,August,Polonnaruwa,22
367,2023,August,Puttalam,30
368,2023,August,Ratnapura,53
369,2023,August,Trincomalee,7
370,2023,August,Vavuniya,2
371,2023,August,Unknown,28
372,2023,August,,710
373,2023,September,Ampara,18
374,2023,September,Anuradhapura,31
375,2023,September,Badulla,24
376,2023,September,Batticaloa,9
377,2023,September,Colombo,86
378,2023,September,Galle,32
379,2023,September,Gampaha,61
380,2023,September,Hambanthota,32
381,2023,September,Jaffna,10
382,2023,September,Kalutara,39
383,2023,September,Kandy,30
384,2023,September,Kegalle,25
385,2023,September,Kilinochchi,3
386,2023,September,Kurunegala,78
387,2023,September,Mannar,2
388,2023,September,Matale,15
389,2023,September,Matara,27
390,2023,September,Monaragala,28
391,2023,September,Mullaitivu,8
392,2023,September,Nuwara Eliya,14
393,2023,September,Polonnaruwa,29
394,2023,September,Puttalam,32
395,2023,September,Ratnapura,37
396,2023,September,Trincomalee,10
397,2023,September,Vavuniya,3
398,2023,September,Unknown,20
399,2023,September,,703
400,2023,October,Ampara,29
401,2023,October,Anuradhapura,46
402,2023,October,Badulla,19
403,2023,October,Batticaloa,21
404,2023,October,Colombo,98
405,2023,October,Galle,52
406,2023,October,Gampaha,74
407,2023,October,Hambanthota,30
408,2023,October,Jaffna,14
409,2023,October,Kalutara,48
410,2023,October,Kandy,28
411,2023,October,Kegalle,27
412,2023,October,Kilinochchi,7
413,2023,October,Kurunegala,52
414,2023,October,Mannar,6
415,2023,October,Matale,17
416,2023,October,Matara,24
417,2023,October,Monaragala,29
418,2023,October,Mullaitivu,8
419,2023,October,Nuwara Eliya,10
420,2023,October,Polonnaruwa,12
421,2023,October,Puttalam,34
422,2023,October,Ratnapura,48
423,2023,October,Trincomalee,4
424,2023,October,Vavuniya,4
425,2023,October,Unknown,26
426,2023,October,,767
427,2023,November,Ampara,23
428,2023,November,Anuradhapura,39
429,2023,November,Badulla,23
430,2023,November,Batticaloa,15
431,2023,November,Colombo,87
432,2023,November,Galle,55
433,2023,November,Gampaha,76
434,2023,November,Hambanthota,40
435,2023,November,Jaffna,18
436,2023,November,Kalutara,56
437,2023,November,Kandy,43
438,2023,November,Kegalle,32
439,2023,November,Kilinochchi,6
440,2023,November,Kurunegala,61
441,2023,November,Mannar,4
442,2023,November,Matale,18
443,2023,November,Matara,27
444,2023,November,Monaragala,14
445,2023,November,Mullaitivu,8
446,2023,November,Nuwara Eliya,18
447,2023,November,Polonnaruwa,22
448,2023,November,Puttalam,29
449,2023,November,Ratnapura,53
450,2023,November,Trincomalee,16
451,2023,November,Vavuniya,7
452,2023,November,Unknown,20
453,2023,November,,810
454,2023,December,Ampara,25
455,2023,December,Anuradhapura,40
456,2023,December,Badulla,18
457,2023,December,Batticaloa,17
458,2023,December,Colombo,75
459,2023,December,Galle,55
460,2023,December,Gampaha,70
461,2023,December,Hambanthota,37
462,2023,December,Jaffna,10
463,2023,December,Kalutara,35
464,2023,December,Kandy,35
465,2023,December,Kegalle,31
466,2023,December,Kilinochchi,2
467,2023,December,Kurunegala,52
468,2023,December,Mannar,6
469,2023,December,Matale,15
470,2023,December,Matara,28
471,2023,December,Monaragala,20
472,2023,December,Mullaitivu,7
473,2023,December,Nuwara Eliya,13
474,2023,December,Polonnaruwa,23
475,2023,December,Puttalam,24
476,2023,December,Ratnapura,45
477,2023,December,Trincomalee,17
478,2023,December,Vavuniya,7
479,2023,December,Unknown,59
480,2023,December,,766
481,2023,Total,Ampara,237
482,2023,Total,Anuradhapura,521
483,2023,Total,Badulla,246
484,2023,Total,Batticaloa,178
485,2023,Total,Colombo,1174
486,2023,Total,Galle,541
487,2023,Total,Gampaha,907
488,2023,Total,Hambanthota,18
489,2023,Total,Jaffna,138
490,2023,Total,Kalutara,548
491,2023,Total,Kandy,424
492,2023,Total,Kegalle,293
493,2023,Total,Kilinochchi,52
494,2023,Total,Kurunegala,760
495,2023,Total,Mannar,50
496,2023,Total,Matale,193
497,2023,Total,Matara,315
498,2023,Total,Monaragala,291
499,2023,Total,Mullaitivu,82
500,2023,Total,Nuwara Eliya,184
501,2023,Total,Polonnaruwa,283
502,2023,Total,Puttalam,396
503,2023,Total,Ratnapura,598
504,2023,Total,Trincomalee,133
505,2023,Total,Vavuniya,65
506,2023,Total,Unknown,434
507,2023,Total,,9436
