,Type of abuse,Month,No of complaints
212,CYPO 35 - in need of Care & Protection,July,225
213,Child Labor,July,19
214,Compulsory Education,July,209
215,308A - Cruelty,July,202
216,365B - Grave Sexual Abuse,July,37
217,311 - Grievous Hurt,July,23
218,360 B - Sexual Exploitation,July,0
219,360D - Offences related to Adoption,July,2
220,364A - Incest,July,2
221,363 - Rape,July,7
222,Juvenile Delinqency,July,34
223,352 - Kidnapping from lawful guardianship,July,3
224,360C - Trafficking,July,5
225,360A - Procreation,July,1
226,288B - Restricted Articles/Drugs,July,2
227,345 - Sexual Harassment,July,46
228,"288A - Hiring or employing children to act as procures
for sexual intercourse.",July,1
229,310 - Cause hurt,July,19
230,351 - Kidnapping from Sri Lanka,July,0
231,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",July,0
232,"CYPO 71 – Neglect of children,Crualty",July,17
233,"CYPO 20 – Prohibition of publication of certain
matters",July,0
234,CYPO 72- seduction or prostitution of girl under 16y,July,0
235,CYPO 76 - sale of tobacco to person under 16 years,July,1
236,"CYPO 77 - preventing children from receiving
education",July,0
237,286 - A- Obscene Publications,July,0
238,"358A – Serfdom, Slavery, Child Soldiers",July,0
239,365 A - Gross Indecency,July,0
240,"286 - C- Duty to inform of use of premises for
child abuse",July,0
241,360E – Soliciting a Child,July,0
242,365 C - Publication of Sexuel Abuse,July,0
243,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",July,0
244,,July,899
245,353 - Abduction,August,11
246,288 - Begging,August,21
247,CYPO 35 - in need of Care & Protection,August,204
248,Child Labor,August,14
249,Compulsory Education,August,147
250,308A - Cruelty,August,185
251,365B - Grave Sexual Abuse,August,31
252,311 - Grievous Hurt,August,18
253,360 B - Sexual Exploitation,August,0
254,360D - Offences related to Adoption,August,0
255,364A - Incest,August,0
256,363 - Rape,August,1
257,Juvenile Delinqency,August,33
258,352 - Kidnapping from lawful guardianship,August,7
259,360C - Trafficking,August,2
260,360A - Procreation,August,2
261,288B - Restricted Articles/Drugs,August,3
262,345 - Sexual Harassment,August,30
263,"288A - Hiring or employing children to act as procures
for sexual intercourse.",August,0
264,310 - Cause hurt,August,7
265,351 - Kidnapping from Sri Lanka,August,1
266,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",August,0
267,"CYPO 71 – Neglect of children,Crualty",August,8
268,"CYPO 20 – Prohibition of publication of certain
matters",August,0
269,CYPO 72- seduction or prostitution of girl under 16y,August,1
270,CYPO 76 - sale of tobacco to person under 16 years,August,0
271,"CYPO 77 - preventing children from receiving
education",August,0
272,286 - A- Obscene Publications,August,2
273,"358A – Serfdom, Slavery, Child Soldiers",August,0
274,365 A - Gross Indecency,August,0
275,"286 - C- Duty to inform of use of premises for
child abuse",August,0
276,360E – Soliciting a Child,August,0
277,365 C - Publication of Sexuel Abuse,August,0
278,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",August,0
279,,August,728
280,353 - Abduction,September,14
281,288 - Begging,September,25
282,CYPO 35 - in need of Care & Protection,September,185
283,Child Labor,September,15
284,Compulsory Education,September,183
285,308A - Cruelty,September,170
286,365B - Grave Sexual Abuse,September,24
287,311 - Grievous Hurt,September,19
288,360 B - Sexual Exploitation,September,1
289,360D - Offences related to Adoption,September,0
290,364A - Incest,September,1
291,363 - Rape,September,5
292,Juvenile Delinqency,September,12
293,352 - Kidnapping from lawful guardianship,September,8
294,360C - Trafficking,September,5
295,360A - Procreation,September,1
296,288B - Restricted Articles/Drugs,September,0
297,345 - Sexual Harassment,September,33
298,"288A - Hiring or employing children to act as procures
for sexual intercourse.",September,0
299,310 - Cause hurt,September,15
300,351 - Kidnapping from Sri Lanka,September,0
301,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",September,1
302,"CYPO 71 – Neglect of children,Crualty",September,34
