District,District (sri lankan districts provinces lat long population.csv),District.,Month,Province (sri lankan districts provinces lat long population.csv),Year,F1,Latitude (sri lankan districts provinces lat long population.csv),Longitude (sri lankan districts provinces lat long population.csv),No of complaints,Population
Ampara,Ampara,Ampara,March,Eastern,2023-01-01,211,7.2914,81.6728,22,649402
Anuradhapura,Anuradhapura,Anuradhapura,March,North Central,2023-01-01,212,8.335,80.4037,59,860575
Badulla,Badulla,Badulla,March,Uva,2023-01-01,213,6.9934,81.055,28,815405
Batticaloa,Batticaloa,Batticaloa,March,Eastern,2023-01-01,214,7.717,81.7056,15,526567
Colombo,Colombo,Colombo,March,Western,2023-01-01,215,6.9271,79.8612,143,2324344
Galle,Galle,Galle,March,Southern,2023-01-01,216,6.0535,80.217,54,1024889
Gampaha,Gampaha,Gampaha,March,Western,2023-01-01,217,7.084,79.8931,92,2290058
Hambanthota,Hambanthota,Hambanthota,March,Southern,2023-01-01,218,6.1241,81.1185,40,594335
Jaffna,Jaffna,Jaffna,March,Northern,2023-01-01,219,9.6615,80.0074,6,583378
Kalutara,Kalutara,Kalutara,March,Western,2023-01-01,220,6.5854,79.9166,70,1221759
Kandy,Kandy,Kandy,March,Central,2023-01-01,221,7.2906,80.6337,53,1374775
Kegalle,Kegalle,Kegalle,March,Sabaragamuwa,2023-01-01,222,7.2513,80.3464,29,840648
Kilinochchi,Kilinochchi,Kilinochchi,March,Northern,2023-01-01,223,9.3842,80.402,6,113510
Kurunegala,Kurunegala,Kurunegala,March,North Western,2023-01-01,224,7.4863,80.0148,96,1618463
Mannar,Mannar,Mannar,March,Northern,2023-01-01,225,8.981,79.9133,8,99548
Matale,Matale,Matale,March,Central,2023-01-01,226,7.4675,80.6234,25,484531
Matara,Matara,Matara,March,Southern,2023-01-01,227,5.9549,80.5353,25,809959
Monaragala,Monaragala,Monaragala,March,Uva,2023-01-01,228,6.8906,81.2152,37,451058
